response_id,campaign_id,customer_id,response_type,response_date,converted,revenue_generated
1,1,1970,ignore,2025-08-17T23:13:09.158129,True,254.06
2,1,1685,open,2025-10-12T00:19:11.628724,False,0.0
3,1,466,open,2026-03-06T17:58:23.268416,False,0.0
4,1,1769,open,2025-07-30T20:24:18.151373,False,0.0
5,1,1469,ignore,2025-08-03T02:48:17.230674,False,0.0
6,1,1924,purchase,2025-08-06T03:20:30.240847,False,0.0
7,1,331,ignore,2026-04-02T23:43:28.213496,False,0.0
8,1,1009,click,2025-07-22T18:02:18.704785,False,0.0
9,1,1239,open,2025-08-04T23:31:58.212065,False,0.0
10,1,1643,ignore,2025-12-18T17:42:55.160464,False,0.0
11,1,417,open,2025-10-25T17:38:45.940083,False,0.0
12,1,710,click,2025-10-08T11:02:35.518766,False,0.0
13,1,1838,ignore,2026-01-26T17:21:25.907497,False,0.0
14,1,308,click,2026-07-04T15:47:15.522637,False,0.0
15,1,761,open,2026-03-13T21:45:12.132904,False,0.0
16,1,1226,ignore,2026-01-29T20:26:28.749026,True,474.23
17,1,1211,open,2025-08-10T09:20:29.927663,False,0.0
18,1,483,click,2026-02-05T22:18:08.901743,False,0.0
19,1,1658,ignore,2026-04-28T10:19:04.926102,False,0.0
20,1,1083,open,2026-05-25T19:10:13.766715,False,0.0
21,1,642,ignore,2025-09-13T02:48:37.126657,False,0.0
22,1,112,open,2026-01-05T00:14:21.673821,False,0.0
23,1,978,open,2025-09-12T02:57:36.984387,True,288.82
24,1,276,click,2025-07-30T21:26:54.106735,False,0.0
25,1,447,purchase,2025-10-08T05:19:01.163890,False,0.0
26,1,429,purchase,2026-04-25T16:25:05.216888,True,450.3
27,1,1137,open,2026-01-19T00:37:48.060653,False,0.0
28,1,316,ignore,2025-10-10T01:59:36.624648,True,281.29
29,1,1153,ignore,2026-04-16T21:59:35.740337,True,427.87
30,1,472,ignore,2026-04-05T21:52:56.851158,False,0.0
31,1,913,purchase,2026-01-08T00:46:43.118891,False,0.0
32,1,1714,ignore,2025-07-15T07:28:35.545933,False,0.0
33,1,493,purchase,2026-01-04T01:28:21.406952,False,0.0
34,1,1320,purchase,2026-02-04T16:41:53.005776,True,205.12
35,1,1825,purchase,2025-12-21T15:41:23.786506,False,0.0
36,1,531,ignore,2026-02-26T06:42:03.985675,False,0.0
37,1,1697,ignore,2025-11-15T17:57:00.720805,True,438.46
38,1,42,ignore,2025-10-12T11:38:01.282262,False,0.0
39,1,1983,click,2025-09-14T16:07:49.143492,False,0.0
40,1,488,ignore,2026-03-16T14:25:13.141703,False,0.0
41,1,1656,ignore,2025-09-03T21:36:30.868232,True,495.9
42,1,1786,click,2025-10-14T09:58:24.421741,False,0.0
43,1,178,ignore,2026-03-10T08:46:44.070659,False,0.0
44,1,1499,purchase,2026-03-11T03:08:00.403130,False,0.0
45,1,1259,ignore,2025-07-28T08:14:21.217842,False,0.0
46,1,1955,purchase,2025-09-07T01:27:30.142359,False,0.0
47,1,1312,click,2026-02-19T06:05:05.032356,False,0.0
48,1,373,open,2025-08-14T14:59:40.144771,False,0.0
49,1,501,purchase,2025-10-30T10:43:52.678081,True,373.16
50,1,132,click,2026-04-21T18:30:50.244938,False,0.0
51,1,1579,purchase,2025-10-20T21:13:07.913487,False,0.0
