behavior_id,customer_id,behavior_date,behavior_type,product_id,session_duration,pages_viewed,cart_value
1,432,2025-08-12T08:33:02.362894,wishlist,179.0,86,7,420.46
2,1939,2026-03-23T19:15:14.106399,add_to_cart,43.0,306,7,99.08
3,9,2026-01-16T21:53:28.262930,wishlist,137.0,605,2,356.73
4,550,2025-12-09T09:05:22.890937,view,195.0,510,3,137.4
5,295,2025-10-09T12:08:15.707996,review,143.0,623,5,201.94
6,1284,2025-09-16T05:17:52.643763,purchase,89.0,876,1,154.59
7,1213,2026-06-06T12:10:09.075829,review,36.0,496,11,391.98
8,535,2026-06-04T23:21:01.532423,wishlist,64.0,100,15,257.17
9,948,2026-04-07T16:58:19.451464,add_to_cart,34.0,725,7,67.63
10,1584,2025-08-13T22:45:40.396109,search,60.0,604,13,63.23
11,1964,2026-06-16T04:42:21.731242,view,51.0,274,3,300.17
12,1071,2026-04-14T03:14:55.391815,view,60.0,569,14,243.06
13,568,2025-11-05T17:29:53.581307,view,136.0,894,7,47.13
14,356,2025-09-10T00:34:22.665366,wishlist,159.0,273,14,334.15
15,549,2025-12-19T16:44:46.775202,review,64.0,620,11,21.56
16,1392,2026-03-15T20:10:48.467602,wishlist,192.0,855,3,195.63
17,1466,2025-11-30T03:30:08.941905,review,185.0,43,15,106.81
18,1175,2025-10-09T01:49:52.532214,wishlist,180.0,40,13,40.15
19,1568,2025-12-07T16:59:58.508944,purchase,71.0,754,15,130.3
20,1513,2026-05-18T12:11:29.968184,view,118.0,424,9,257.79
21,1909,2025-12-12T11:52:03.010837,review,153.0,75,7,465.55
22,1054,2026-05-15T20:40:56.236831,search,182.0,277,7,282.5
23,1631,2025-11-16T21:28:44.489943,search,77.0,649,6,293.66
24,1193,2025-10-05T12:43:23.608080,view,106.0,764,14,343.41
25,1069,2025-10-17T16:25:46.458300,view,172.0,666,2,452.17
26,868,2026-02-23T13:38:37.157256,review,54.0,293,5,225.28
27,835,2026-05-05T17:07:49.276864,add_to_cart,178.0,865,11,25.45
28,506,2026-02-02T17:31:21.168988,view,182.0,330,15,267.66
29,730,2026-02-26T13:31:21.211864,purchase,165.0,352,4,48.42
30,226,2025-09-22T16:30:49.281443,wishlist,70.0,576,4,103.44
31,88,2025-12-14T18:45:45.280355,wishlist,72.0,684,4,262.17
32,1592,2026-02-04T02:59:02.820615,purchase,176.0,233,11,265.68
33,1678,2025-12-17T23:05:37.093862,search,75.0,490,7,386.1
34,575,2025-12-08T03:02:04.660951,review,37.0,163,10,335.82
35,1579,2025-11-15T18:42:22.886009,purchase,159.0,584,3,169.04
36,7,2026-01-03T05:02:38.985746,search,140.0,376,3,7.83
37,21,2025-08-02T01:29:57.797709,review,154.0,770,4,78.67
38,700,2026-05-02T21:29:34.476363,add_to_cart,192.0,738,11,310.62
39,1526,2026-03-19T19:57:18.836104,search,130.0,175,14,307.53
40,1991,2025-10-23T12:06:43.735084,search,185.0,239,7,355.78
41,1563,2026-01-23T20:48:21.949996,search,10.0,750,10,264.14
42,1304,2026-05-12T19:02:44.828837,purchase,190.0,807,15,304.54
43,587,2025-12-11T03:37:23.014014,search,147.0,693,3,190.3
44,1068,2026-05-27T20:20:40.170841,search,164.0,435,15,241.88
45,1629,2025-08-02T11:06:27.632194,add_to_cart,91.0,510,7,32.14
46,1847,2025-11-11T15:07:13.313267,wishlist,85.0,10,13,148.63
47,1913,2026-05-04T23:16:28.074614,view,151.0,575,6,36.58
48,1472,2026-05-27T07:38:01.997752,review,48.0,501,8,174.0
49,1304,2026-05-01T03:46:15.457756,wishlist,40.0,352,3,363.78
50,1,2025-08-24T21:21:38.961238,add_to_cart,143.0,879,14,37.74
51,1246,2026-03-10T22:48:00.876172,review,170.0,761,11,373.28
52,708,2026-06-20T23:41:48.549461,review,47.0,881,9,238.67
53,138,2026-06-27T17:42:42.737223,view,16.0,620,6,406.15
54,140,2026-03-17T04:03:48.567153,search,5.0,817,14,58.71
55,527,2026-02-18T00:18:39.220660,search,84.0,229,14,457.08
56,651,2025-10-04T13:40:21.424412,search,193.0,544,9,0.1
57,1254,2026-06-29T20:35:03.601507,wishlist,38.0,868,15,348.94
58,139,2026-01-14T01:49:34.358335,view,95.0,193,5,95.95
59,539,2025-10-02T10:42:52.683518,add_to_cart,90.0,649,3,60.69
60,1088,2026-02-06T23:14:03.261369,view,34.0,383,9,57.88
61,1131,2026-03-19T06:47:21.030558,wishlist,8.0,826,2,454.41
62,1105,2025-07-23T15:07:18.703544,view,136.0,464,7,364.33
63,241,2026-04-19T18:41:21.880374,purchase,124.0,421,15,218.5
64,1645,2026-01-05T09:25:53.570465,wishlist,179.0,545,11,316.51
65,1385,2026-02-01T19:23:48.184965,search,190.0,708,10,41.31
66,789,2025-12-11T07:25:37.074353,purchase,46.0,663,15,31.61
67,671,2026-03-27T21:53:58.622481,search,131.0,760,2,125.27
68,686,2025-09-09T10:11:23.045959,add_to_cart,48.0,337,15,278.76
69,460,2025-07-12T03:02:01.607045,add_to_cart,58.0,574,12,405.16
70,2000,2026-04-27T23:00:33.338827,review,,153,15,49.73
71,1940,2025-08-05T22:09:09.728872,view,112.0,384,5,327.25
72,107,2026-06-07T14:56:08.201049,search,35.0,610,4,57.49
73,622,2025-08-03T04:27:33.932779,search,43.0,775,5,300.21
74,701,2026-06-16T22:19:54.891942,purchase,113.0,267,1,161.26
75,1910,2025-07-16T06:35:32.284672,wishlist,34.0,771,14,384.9
76,1758,2026-02-25T13:19:29.709188,view,54.0,376,2,66.55
77,913,2025-09-27T05:57:40.764932,add_to_cart,171.0,21,10,323.32
78,1891,2025-12-01T17:33:53.346401,add_to_cart,132.0,896,4,48.71
79,1576,2026-01-11T20:11:11.193246,view,50.0,396,15,27.59
80,1986,2026-05-15T11:53:07.092071,search,167.0,138,4,466.47
81,324,2025-10-19T02:43:35.191443,add_to_cart,156.0,698,1,65.98
82,1789,2026-02-13T08:04:00.673703,add_to_cart,160.0,810,9,47.13
83,1610,2026-02-12T00:56:07.422772,search,9.0,489,4,65.81
84,1359,2026-01-02T19:01:55.369378,wishlist,72.0,674,14,206.43
85,116,2025-09-19T05:40:47.091320,wishlist,126.0,833,7,348.49
