transaction_id,customer_id,transaction_date,total_amount,discount_amount,tax_amount,payment_method,status,channel,created_at
1,1234,2025-08-25T13:02:37.985865,359.65,24.4,35.96,bank_transfer,completed,in_store,2026-07-06T09:25:46.137109
2,854,2024-07-19T02:40:57.115879,192.56,15.03,19.26,paypal,completed,mobile,2026-07-06T09:25:46.137203
3,1535,2026-03-12T04:37:48.206732,145.87,8.24,14.59,credit_card,completed,mobile,2026-07-06T09:25:46.137285
4,1008,2025-04-01T04:20:20.547792,28.55,0.89,2.86,credit_card,completed,phone,2026-07-06T09:25:46.137507
5,97,2025-08-29T04:02:34.687079,54.29,2.27,5.43,credit_card,completed,in_store,2026-07-06T09:25:46.137597
6,1696,2025-08-05T20:34:34.496959,66.25,2.1,6.62,credit_card,completed,in_store,2026-07-06T09:25:46.137663
7,248,2024-12-01T22:04:27.375714,84.48,10.43,8.45,debit_card,completed,in_store,2026-07-06T09:25:46.137723
8,1578,2025-04-22T14:02:34.190832,230.49,35.47,23.05,paypal,completed,online,2026-07-06T09:25:46.137791
9,897,2026-04-25T02:32:51.735915,183.83,34.07,18.38,bank_transfer,cancelled,online,2026-07-06T09:25:46.137849
10,1249,2026-06-29T03:26:43.558913,551.3,86.18,55.13,credit_card,completed,online,2026-07-06T09:25:46.137904
11,242,2026-04-16T22:23:38.358530,106.18,3.55,10.62,debit_card,refunded,mobile,2026-07-06T09:25:46.137955
12,1561,2026-06-26T22:24:05.653532,195.49,27.69,19.55,bank_transfer,completed,online,2026-07-06T09:25:46.138015
13,1678,2025-05-09T02:42:43.598557,25.14,1.83,2.51,debit_card,completed,mobile,2026-07-06T09:25:46.138069
14,1575,2025-07-20T15:33:18.197838,86.73,7.21,8.67,credit_card,completed,phone,2026-07-06T09:25:46.138125
15,175,2024-09-22T09:03:09.492453,62.63,6.33,6.26,paypal,completed,phone,2026-07-06T09:25:46.138176
16,311,2024-09-03T21:46:55.590869,67.09,8.92,6.71,bank_transfer,completed,mobile,2026-07-06T09:25:46.138229
17,839,2026-04-19T20:23:52.669896,242.75,20.07,24.28,bank_transfer,refunded,in_store,2026-07-06T09:25:46.138288
18,1578,2026-02-27T23:06:23.916940,431.67,38.21,43.17,credit_card,completed,online,2026-07-06T09:25:46.138343
19,1582,2024-12-11T04:47:50.886968,13.29,0.84,1.33,debit_card,completed,phone,2026-07-06T09:25:46.138393
20,1314,2025-12-29T20:26:40.566194,213.56,28.2,21.36,debit_card,refunded,online,2026-07-06T09:25:46.138438
21,1637,2024-07-19T02:15:25.436347,570.7,111.86,57.07,paypal,completed,in_store,2026-07-06T09:25:46.138483
22,705,2025-04-13T03:34:02.546008,191.78,12.03,19.18,credit_card,completed,mobile,2026-07-06T09:25:46.138533
23,421,2024-12-06T11:14:49.086941,180.74,16.13,18.07,bank_transfer,completed,phone,2026-07-06T09:25:46.138584
24,173,2025-02-09T14:34:48.055745,224.02,39.47,22.4,credit_card,completed,phone,2026-07-06T09:25:46.138718
25,259,2025-10-10T07:59:27.874492,193.7,28.67,19.37,paypal,completed,in_store,2026-07-06T09:25:46.138794
26,328,2026-06-24T00:13:03.468308,110.51,16.73,11.05,credit_card,completed,in_store,2026-07-06T09:25:46.138846
27,1488,2025-10-27T12:57:00.679207,41.43,6.41,4.14,bank_transfer,cancelled,online,2026-07-06T09:25:46.138901
28,532,2026-04-20T14:09:23.356984,197.51,33.24,19.75,paypal,completed,online,2026-07-06T09:25:46.138953
29,11,2025-06-30T23:13:06.675315,89.33,10.23,8.93,bank_transfer,completed,mobile,2026-07-06T09:25:46.139010
30,1159,2024-10-06T00:36:42.201694,245.51,48.56,24.55,debit_card,completed,in_store,2026-07-06T09:25:46.139059
31,1174,2024-07-08T02:11:54.386390,164.91,26.88,16.49,debit_card,completed,mobile,2026-07-06T09:25:46.139104
32,395,2025-09-05T01:38:06.667689,16.68,1.72,1.67,paypal,completed,mobile,2026-07-06T09:25:46.139197
33,168,2024-07-30T06:58:20.985394,186.53,30.91,18.65,credit_card,completed,mobile,2026-07-06T09:25:46.139313
34,757,2024-09-29T01:00:37.311788,97.01,8.66,9.7,bank_transfer,completed,phone,2026-07-06T09:25:46.139383
35,1304,2024-11-26T09:55:50.367397,308.38,36.04,30.84,bank_transfer,cancelled,phone,2026-07-06T09:25:46.139434
36,334,2024-11-30T01:49:44.284735,197.36,16.46,19.74,debit_card,completed,phone,2026-07-06T09:25:46.139482
