session_id,customer_id,session_date,duration_seconds,pages_visited,source,device_type,bounce
1,791.0,2025-11-07T18:29:04.687635,28,18,referral,desktop,True
2,1434.0,2026-02-10T00:51:15.619538,1133,1,direct,mobile,True
3,1690.0,2025-11-20T17:59:18.492601,2801,10,direct,tablet,False
4,943.0,2026-05-05T23:15:37.650621,2473,3,paid,mobile,False
5,1008.0,2026-05-20T18:41:11.772868,1427,13,social,desktop,False
6,120.0,2025-10-01T08:27:37.682874,3102,3,social,desktop,False
7,860.0,2025-07-15T06:36:40.877450,1470,15,paid,tablet,False
8,512.0,2026-03-16T21:21:44.484040,3588,2,referral,desktop,False
9,298.0,2025-12-08T15:51:50.088550,3288,8,social,desktop,False
10,1195.0,2026-05-12T15:50:28.240649,1957,3,email,mobile,False
11,1619.0,2026-06-16T03:51:06.761273,3389,5,paid,desktop,False
12,1893.0,2025-07-11T03:32:39.460074,3220,16,email,mobile,True
13,1732.0,2025-12-28T00:38:38.213423,147,14,organic,desktop,False
14,,2025-10-13T09:05:59.457524,750,15,paid,desktop,False
15,1477.0,2026-01-11T04:47:19.352073,1501,15,social,mobile,False
16,536.0,2026-06-25T08:19:01.569844,3401,3,direct,desktop,False
17,1288.0,2026-07-06T01:09:55.549251,2924,8,direct,tablet,False
18,990.0,2025-09-04T00:47:58.316529,1628,3,direct,tablet,True
19,661.0,2025-10-31T01:34:44.265117,325,15,referral,mobile,False
20,,2025-10-12T07:28:54.517240,473,14,organic,desktop,True
21,1307.0,2025-12-02T13:49:32.310275,475,1,email,mobile,False
22,1400.0,2026-06-05T19:15:36.084211,239,9,social,tablet,False
23,2000.0,2025-12-22T15:19:30.059062,2099,13,referral,desktop,False
24,501.0,2026-02-10T02:39:03.079390,2172,7,direct,tablet,False
25,245.0,2025-07-28T21:52:41.065756,3187,18,social,tablet,False
26,116.0,2026-03-24T05:21:03.108611,533,9,direct,desktop,False
27,1903.0,2026-06-25T16:56:23.885139,2201,10,direct,desktop,True
28,,2026-04-24T18:39:03.545368,1532,2,paid,tablet,True
